국가,구분,분야,제목,본문1,본문2,본문3,영문제목,영문본문1,영문본문2,영문본문3,출처,링크,날짜
르완다,공여국,거버넌스평화,"르완다-한국, 고위급 회담 통해 외교 관계 심화",르완다가 키갈리에서 열린 고위급 회담 이후 대한민국과의 외교 관계를 더욱 강화하겠다는 의지를 재확인함. 올리비에 은두훙기레헤(Olivier Nduhungirehe)는 백진현 교수 및 정우진 대사와 만나 양국 간의 점증하는 파트너십을 반영한 양자·다자간 협력 증진 방안을 논의함.,"이번 논의는 지속 가능한 개발, 혁신, 교육, 국제법 등 핵심 분야에서의 협력 확대에 초점을 맞춤. 은두훙기레헤 장관은 협력 심화에 대한 르완다의 관심을 표명했으며, 백진현 교수는 유대를 강화하고 글로벌 플랫폼에서의 공동 영향력을 높이기 위해 지속적인 대화와 지식 교류가 중요함을 강조함.","정우진 대사는 르완다의 개발 의제에 대한 한국의 지지와 향후 협력 기회를 재확인함. 이번 회담은 르완다와 한국이 파트너십을 활용해 글로벌 과제에 대응하고, 공동 성장을 도모하며, 다양한 분야에서 협력을 확장하려는 노력의 일환으로 양국 관계의 또 다른 진전을 의미함.",Rwanda and Korea Deepen Diplomatic Ties Through High-Level Engagement,"Rwanda has reaffirmed its commitment to stronger diplomatic ties with the Republic of Korea following a high-level meeting in Kigali. Olivier Nduhungirehe met with Jin Hyun Piak and Jeong Woo Jin to discuss enhancing bilateral and multilateral cooperation, reflecting the growing partnership between the two countries.","Discussions focused on expanding collaboration in key sectors such as sustainable development, innovation, education, and international law. Minister Nduhungirehe highlighted Rwanda’s interest in deepening cooperation, while Piak emphasized the importance of continued dialogue and knowledge exchange to strengthen ties and increase joint impact on global platforms.","Ambassador Jeong Woo Jin reaffirmed Korea’s support for Rwanda’s development agenda and future collaboration opportunities. The meeting marks another step forward in Rwanda–Korea relations, with both countries seeking to leverage their partnership to address global challenges, promote shared growth, and expand cooperation across multiple sectors.",TAARIFA,https://www.newtimes.co.rw/article/35063/news/rwanda/govt-mandates-30-electric-vehicles-in-public-procurement,2026-04-22
르완다,수원국,에너지,정부 공공 조달 차량의 30% 전기차 의무화,"르완다 인프라부가 모든 공공 기관을 대상으로 신규 조달 차량의 최소 30%를 순수 전기차로 확충하도록 지시함. 장 드 디외 우위항가니에(Jean de Dieu Uwihanganye)가 발표한 이번 정책은 국가의 청정 모빌리티 전환을 가속화하는 데 목적이 있음. 이는 르완다의 '지속 가능한 공공 조달 정책'과 궤를 같이하며, 최근 정부 지출 압박을 높이는 연료 가격 상승세 속에서 단행됨.","모든 기관은 조달 계획에 해당 요건을 통합해야 하며, 엄격한 사유서 제출 및 사전 승인을 받은 경우에만 예외가 허용됨. 특히 판단이 모호한 사례에서도 전기차 도입을 우선시하도록 지침이 마련됨. 이는 배출가스 감축과 기후 탄력성 강화 등 녹색 성장 노력의 일환인 동시에, 변동성이 큰 글로벌 유가가 경제에 미치는 영향을 완화하려는 조치임.","정부는 전기차 보급 지원을 위해 2028년까지 전기차 및 충전 장비에 대한 세금 면제 혜택을 제공함. 이번 정책은 장기적인 운송 비용 절감과 수입 연료 의존도 확대를 억제할 것으로 기대됨. 전문가들은 공공 부문의 수요 창출이 전기차 시장을 자극하고, 충전 인프라에 대한 민간 투자를 유도하여 르완다의 저탄소 경제 전환을 앞당길 것으로 분석함.",Govt mandates 30% electric vehicles in public procurement,"The Ministry of Infrastructure Rwanda has directed all public institutions to ensure that at least 30% of newly procured vehicles are fully electric. Announced by Jean de Dieu Uwihanganye, the policy aims to accelerate the country’s transition to clean mobility. It aligns with Rwanda’s Sustainable Public Procurement Policy and comes amid rising fuel prices, which are increasing pressure on government spending.","Institutions must integrate the requirement into procurement plans, with exceptions only allowed under strict justification and prior approval. The directive prioritizes electric vehicles even in borderline cases. It forms part of broader efforts to promote green growth, reduce emissions, and strengthen climate resilience, while also addressing the economic impact of fluctuating global fuel prices.","The government has introduced incentives to support adoption, including tax exemptions on electric vehicles and charging equipment until 2028. The policy is expected to reduce long-term transport costs and reliance on imported fuel. Analysts believe it could also stimulate the EV market by creating demand, encouraging private investment in charging infrastructure, and accelerating Rwanda’s shift toward a low-carbon economy.",NEWTIMES,https://www.newtimes.co.rw/article/35063/news/rwanda/govt-mandates-30-electric-vehicles-in-public-procurement,2026-04-22
르완다,수원국,교통,"정부, 대중교통 이용 활성화 위해 '환승 주차(Park-and-Ride)' 도입","키갈리 시가 자가용 운전자의 대중교통 이용을 유도하기 위해 지정 공영 주차 공간을 도입함. 에마-클로딘 은티렌가냐(Emma-Claudine Ntirenganya)에 따르면, 운전자들은 특정 지점에 주차한 후 버스로 갈아타 이동할 수 있게 됨. 이번 이니셔티브는 거주지 근처에서 대중교통 접근이 어려운 주민들의 통근 불편을 해소하는 데 목적이 있음.","해당 계획은 연료비 절감, 교통 체증 완화 및 국가 전체의 연료 소비 압박을 줄일 것으로 기대됨. 이는 전용 버스 차로 확대 등의 노력과 병행되며, 오는 4월 24일부터 시행될 예정임. 주차 장소로는 카부가 버스 터미널, 아마호로 경기장, 키갈리 펠레 경기장, 루옌지 등이 확정되었으며 추가 부지 검토도 진행 중임. 주차 요금은 시간당 약 200 르완다 프랑의 저렴한 수준으로 책정됨.","이번 조치는 르완다 다목적 규제청이 휘발유 가격을 리터당 2,938 르완다 프랑으로 인상(경유는 2,205 르완다 프랑 유지) 발표한 가운데 시행됨. 당국은 이 방식이 이동 비용을 적정 수준으로 유지하는 동시에 대중교통 이용을 장려하고, 글로벌 연료 시장의 압박에 대응하려는 정부 차원의 노력을 뒷받침할 것이라고 밝힘.",Govt rolls out park-and-ride to drive public transport uptake,"The City of Kigali is introducing designated public parking spaces to encourage motorists to combine private and public transport. According to Emma-Claudine Ntirenganya, drivers will be able to park midway and continue their journeys by bus. The initiative aims to ease commuting challenges, especially for residents without easy access to public transport near their homes.","The plan is expected to reduce fuel costs, traffic congestion, and pressure on national fuel consumption. It complements efforts such as expanding dedicated bus lanes, with rollout scheduled for April 24. Identified parking locations include Kabuga Bus Station, Amahoro Stadium, Kigali Pele Stadium, and Ruyenzi, with more sites under assessment. Parking will be affordable, estimated at around Rwf200 per hour.","The initiative comes amid rising fuel prices announced by the Rwanda Utilities Regulatory Authority, with petrol reaching Rwf2,938 per litre while diesel remains at Rwf2,205. Authorities say the approach will help maintain affordable mobility while encouraging greater use of public transport and supporting broader efforts to manage the impact of global fuel market pressures.",NEWTIMES,https://www.newtimes.co.rw/article/35099/news/infrastructure/govt-rolls-out-park-and-ride-to-drive-public-transport-uptake,2026-04-23
르완다,수원국,물,"RURA, 안전한 용수 및 지속 가능한 위생 보장을 위한 단속 강화","르완다 다목적 규제청이 공중보건 보호를 위해 수질 모니터링 및 폐기물 관리 관행을 개선하며 위생 시스템 강화에 나섬. 후세인 비지마나(Hussein Bizimana)에 따르면, 정수 단계부터 소비 단계까지 점검, 테스트, 준수 여부 확인을 통해 용수의 안전성을 지속적으로 모니터링함. 이러한 접근 방식은 리스크 조기 발견, 서비스 신뢰도 유지, 대중의 신뢰 구축을 도모하며 안전한 용수에 대한 보편적 접근을 지원함.","규제청은 특히 유해 폐기물, 유기물, 플라스틱 폐기물의 혼합 배출 등 환경 및 건강 리스크를 초래하는 부실한 폐기물 관리 문제에 대해 우려를 표명함. 주민들에게는 적절한 폐기물 분리배출과 면허를 소지한 서비스 제공업체 이용이 권고됨. 면허 제도는 업체가 기술적, 재무적, 환경적 표준을 충족하도록 보장하며, 위생 요금은 불공정 가격 책정이나 미승인 요금 인상으로부터 소비자를 보호하기 위해 규제됨.","규제 당국은 책임감 있는 서비스 제공을 위해 점검과 집행을 강화함. 시민들에게는 부당 사례 신고 및 권리 인지를 통한 적극적인 참여가 독려됨. 당국은 지속 가능한 위생이 규제 기관, 서비스 제공업체, 지역사회 간의 협력과 더불어 시스템의 안전성, 효율성, 환경적 지속 가능성을 보장하기 위한 인프라 투자가 병행되어야 함을 강조함.","RURA tightens enforcement to ensure safe water, sustainable sanitation","The Rwanda Utilities Regulatory Authority is strengthening sanitation systems by enhancing water quality monitoring and waste management practices to protect public health. According to Hussein Bizimana, continuous monitoring ensures water safety from treatment to consumption through inspections, testing, and compliance checks. This approach aims to detect risks early, maintain service reliability, and build public trust while supporting universal access to safe water.","RURA raised concerns over poor waste management, particularly the mixing of hazardous, organic, and plastic waste, which poses environmental and health risks. Residents are urged to adopt proper waste segregation and use only licensed service providers. Licensing ensures companies meet technical, financial, and environmental standards, while sanitation tariffs are regulated to protect consumers from unfair pricing and unapproved fee increases.","The regulator has intensified inspections and enforcement to improve accountability and service delivery. Public participation is encouraged, with citizens urged to report irregularities and stay informed about their rights. Authorities stress that sustainable sanitation depends on coordination among regulators, service providers, and communities, alongside continued investment in infrastructure to ensure systems remain safe, efficient, and environmentally sustainable.",NEWTIMES,https://www.newtimes.co.rw/article/35040/news/featured/rura-tightens-enforcement-to-ensure-safe-water-sustainable-sanitation,2026-04-23
르완다,수원국,에너지,르완다 시장 내 휘발유 오토바이 단계적 퇴출,"르완다가 전기 모빌리티 전환의 일환으로 휘발유 및 경유 구동 오토바이의 단계적 퇴출을 추진함. 장 드 디외 우위항가니에(Jean de Dieu Uwihanganye)는 앞으로 신규 등록, 특히 오토바이 택시 운영자의 경우 전기 오토바이만 허용될 것이라고 발표함. 이번 정책은 르완다 다목적 규제청이 발급하는 모든 신규 상업용 오토바이 면허를 전기 오토바이로 제한하도록 한 2025년 키갈리 지침을 기반으로 함.","정부는 전기 오토바이 시장에 대한 신뢰가 높아짐에 따라 해당 정책을 전국으로 확대할 계획임. 우위항가니에(Uwihanganye)는 수입 및 충전 인프라에 대한 투자 확대로 관련 부문이 강화되었으며, 이에 따라 대규모 도입이 가능해졌다고 언급함. 이번 조치는 청정 교통 촉진, 배출가스 감축, 그리고 르완다 도시 모빌리티 시스템의 현대화를 목표로 함.","관련 데이터에 따르면 2025년 한 해 동안 1만 4,000대 이상의 오토바이가 판매되었으며, 그중 전기 모델의 비중이 급격히 상승하는 등 강력한 성장세가 확인됨. 신규 휘발유 및 경유 오토바이의 등록은 제한되나, 기존에 운행 중인 내연기관 오토바이는 계속 운영이 가능함. 이번 정책은 오토바이 택시 업계의 신규 진입자를 주요 대상으로 하여, 완전한 전기 오토바이 시장으로의 점진적 전환을 가속화할 전망임.",Petrol-powered motorcycles to be phased out of Rwanda’s market,"Rwanda is moving to phase out petrol- and diesel-powered motorcycles as part of its transition to electric mobility. Jean de Dieu Uwihanganye announced that only electric motorcycles will be allowed for new registrations, especially for moto taxi operators. The policy builds on a 2025 directive in Kigali requiring all new commercial motorcycle licenses issued by Rwanda Utilities Regulatory Authority to be for electric bikes.","The government plans to expand the policy nationwide, reflecting growing confidence in the electric motorcycle market. Uwihanganye noted that increased investment in imports and charging infrastructure has strengthened the sector, making large-scale adoption feasible. The move aims to promote clean transport, reduce emissions, and modernise Rwanda’s urban mobility systems.","Data shows strong growth in the sector, with over 14,000 motorcycles sold in 2025 and electric models rising sharply. While new petrol and diesel motorcycles will be restricted, existing fuel-powered bikes will continue operating. The policy targets new entrants into the moto taxi industry, accelerating Rwanda’s gradual shift toward a fully electric motorcycle market.",NEWTIMES,https://en.igihe.com/business/article/petrol-powered-motorcycles-to-be-phased-out-of-rwandas-market,2026-04-24
르완다,수원국,기타,"RSSB, 기업 성장 촉진 위해 1억 달러 규모 중소기업 펀드 1차 주도","르완다 사회보장국(RSSB)이 중소기업(SME)에 대한 장기 금융 확대를 위해 1억 달러 규모의 '르완다 중소기업 성장 펀드'를 출범하고, 핵심 투자자로서 3,000만 달러를 투입함. 키갈리에서 공개된 이 펀드는 '비전 2050' 및 제2차 국가 경제개발 전략(NST2)에 발맞춰 기업 성장, 일자리 창출, 혁신 지원을 목표로 함. 또한 추가 투자자를 유치하는 동시에 유연한 현지 통화 금융을 제공함으로써 르완다의 민간 주도 경제 변혁을 강화하고자 함.","엔코 캐피털이 관리하는 이 펀드는 은행 대출 이용에 어려움을 겪는 이른바 '미싱 미들' 중소기업을 주요 대상으로 함. 중소기업은 르완다 경제의 중추이나, 많은 기업이 비공식 대출에 의존하는 등 심각한 자금 조달 장벽에 직면해 있음. 이번 이니셔티브는 50만 달러에서 500만 달러 사이의 지분 투자를 제공하여 기업의 규모 확장, 신시장 진출, 고용 창출을 돕고 구조적인 금융 공백을 해소할 계획임.","자금 지원 외에도 지배구조 개선, 기술 개발, 제품 혁신을 통해 중소기업의 역량을 강화하기 위한 300만 달러 규모의 기술 지원 시설이 포함됨. FSD 아프리카 등의 파트너들이 뒷받침하는 이 펀드는 기업 경쟁력과 지속 가능성 제고를 목표로 함. 자본과 기술 지원의 결합을 통해 성장의 발판을 마련하고, 강력한 현지 기업을 육성하며 르완다의 장기적인 경제 발전에 기여할 것으로 기대됨.",RSSB leads first round of $100m SME fund to spur business growth,"Rwanda Social Security Board has launched a $100 million Rwanda SME Growth Fund, committing $30 million as an anchor investor to expand long-term financing for small and medium-sized enterprises. Unveiled in Kigali, the fund aims to support business growth, job creation, and innovation, aligning with Vision 2050 and NST2. It seeks to attract additional investors while providing flexible, local-currency financing to strengthen Rwanda’s private sector-led economic transformation.","Managed by Enko Capital, the fund targets the “missing middle” of SMEs that struggle to access bank financing. SMEs dominate Rwanda’s economy but face significant funding barriers, with many relying on informal lenders. The initiative will provide equity investments ranging from $500,000 to $5 million, helping businesses scale, expand into new markets, and create jobs while addressing structural financing gaps.","Beyond funding, the initiative includes a $3 million Technical Assistance facility to strengthen SME capacity through governance support, skills development, and product innovation. Backed by partners such as FSD Africa, the fund aims to improve competitiveness and sustainability. By combining capital with technical support, it is expected to unlock growth, build strong local enterprises, and contribute to long-term economic development in Rwanda.",NEWTIMES,https://www.newtimes.co.rw/article/35209/news/featured/rssb-leads-first-round-of-100m-sme-fund-to-spur-business-growth,2026-04-28
르완다,수원국,기타,생산성 증대를 위한 직장 내 웰빙 강화 우선 추진,"세계 산업 안전 보건의 날'을 맞아 르완다 정부가 생산성 향상과 국가 발전을 위해 직장 내 웰빙 시스템 강화를 촉구함. 공공서비스노동부와 파트너들이 주도한 이번 행사에서는 신체적, 정신적, 심리사회적 안녕을 포함한 산업 안전에 대한 포괄적인 접근 방식이 강조됨. 크리스틴 은쿨리키잉카(Christine Nkulikiyinka) 장관은 건강한 근무 환경이 직원의 참여도, 회복탄력성 및 전반적인 업무 성과를 개선한다고 강조함.","그간의 진전에도 불구하고 부상 및 직업병과 같은 직장 내 리스크가 지속되어 생산성과 경제적 성과에 영향을 미치고 있음. 정부는 위험 요소를 식별하고 예방 조치를 촉진하는 산업 안전 보건(OSH) 위원회의 역할을 강조함. 역량 강화를 위해 114개 공공 기관에서 193명의 위원회 위원이 교육을 이수했으며, 향후 민간 부문으로도 유사한 프로그램을 확대할 계획임.","정부 관계자들은 건강한 직원이 더 생산적이고 의욕적이라는 점에서 직장 내 웰빙이 경제 성장의 핵심임을 역임함. 또한 장관은 직장 내 괴롭힘에 대한 무관용 원칙을 천명하며, 각 기관이 근로자, 특히 취약 계층을 보호하는 정책을 집행할 것을 촉구함. 정부는 안전 표준 개선, 파트너십 강화, 예방 문화 확산을 통해 탄력적이고 생산적인 노동력을 지원하겠다는 의지를 재확인함.",Govt prioritises workplace wellness to boost output,"During World Day for Occupational Safety and Health, Rwanda called for stronger workplace wellness systems to enhance productivity and national development. The event, led by Ministry of Public Service and Labour and partners, emphasised a holistic approach to occupational safety, including physical, mental, and psychosocial wellbeing. Minister Christine Nkulikiyinka stressed that healthy work environments improve employee engagement, resilience, and overall performance.","Despite progress, workplace risks such as injuries and occupational diseases persist, affecting productivity and economic outcomes. The government highlighted the role of Occupational Safety and Health (OSH) committees in identifying hazards and promoting preventive measures. To strengthen capacity, 193 committee members from 114 public institutions have been trained, with plans to extend similar programmes to the private sector.","Officials underscored that workplace wellness is key to economic growth, as healthy employees are more productive and motivated. The minister also called for zero tolerance toward harassment, urging institutions to enforce policies that protect workers, especially vulnerable groups. The government reaffirmed its commitment to improving safety standards, strengthening partnerships, and promoting a culture of prevention to support a resilient and productive workforce.",NEWTIMES,https://www.newtimes.co.rw/article/35245/news/health/govt-prioritises-workplace-wellness-to-boost-output,2026-04-29
말리,수원국,에너지,"사포(Safo) 태양광 발전소 현장 전략 방문: 말리, 중국의 지원으로 에너지 전환 가속화","티에모코 트라오레(Tiémolo Traoré) 에너지부 장관은 중국 대사와 함께 사포 태양광 발전소 건설 현장을 방문해 전략적 시찰을 진행했음. 이번 방문은 카티(Kati) 지역에 위치한 240헥타르 규모의 이 현장에서 계약상 의무 이행, 공사 일정 준수 및 시공 품질(시추, 콘크리트 타설, 구조물 조립)을 점검하기 위해 진행됨.","최대 50메가와트의 용량을 갖춘 이 1,000억 FCFA 규모의 프로젝트는 화석 연료 의존도를 낮추기 위한 말리의 핵심 정책임. 회의에서는 연료 공급, EDM-SA의 국가 전력망 연결, 지속 가능한 인프라를 보장하기 위한 계약 기한 연장 가능성 등 물류적 과제를 논의함.","과도정부 대통령인 아시미 고이타(Assimi Goita) 장군이 추진한 이 프로젝트는 바마코와 베이징 간의 협력 관계를 잘 보여줌. 장관은 시노하이드로(Sinohydro)사의 전문성에 대한 신뢰를 재차 표명했으며, 중국 대사는 계획의 철저한 이행을 강조함. 이번 협력은 말리의 에너지 주권을 강화하고 사헬 국가 연합(AES)의 모범 사례가 되는 것을 목표로 함.",Visite stratégique sur le chantier de la centrale solaire de Safo : le Mali accélère sa transition énergétique avec l’appui de la Chine,"Le Ministre de l'Énergie, le Professeur Tiémoko Traoré, accompagné de l'Ambassadeur de Chine, a effectué une visite stratégique sur le chantier de la centrale solaire de Safo. Cette mission vise à s'assurer du respect des engagements contractuels, des délais et de la qualité d'exécution des travaux (forage, bétonnage, montage des structures) sur ce site de 240 hectares situé dans le cercle de Kati.","D'une capacité de 50 mégawatts-crête, ce projet de plus de 100 milliards de FCFA est un pilier de la politique malienne pour réduire la dépendance aux énergies fossiles. Les discussions ont abordé sans détour les défis logistiques, tels que l'approvisionnement en carburant, le raccordement au réseau national d'EDM-SA et l'éventuelle prorogation des délais contractuels pour garantir une infrastructure durable.","Le projet, lancé par le Président de la Transition, le Général Assimi Goïta, illustre le partenariat entre Bamako et Pékin. Le ministre a réitéré sa confiance envers l'expertise de l'entreprise Sinohydro, tandis que l'ambassadeur chinois a insisté sur la rigueur des plannings. Cette collaboration vise à renforcer la souveraineté énergétique du Mali et à servir de modèle pour la Confédération des États du Sahel (AES).",Bamada,https://bamada.net/visite-strategique-sur-le-chantier-de-la-centrale-solaire-de-safo-le-mali-accelere-sa-transition-energetique-avec-lappui-de-la-chine,2026-04-04
말리,국제기구,보건,말리: 보건 및 교육 분야에 834억 FCFA 투입,말리 정부는 세계은행 그룹 산하 국제개발협회(IDA)가 제공하는 834억 CFA 프랑(약 1억 5천만 달러) 규모의 자금 지원 협정을 비준함. 이번 지원은 국가 예산이 극심한 제약에 직면한 상황에서도 보건 및 교육 분야의 필수 서비스 제공이 지속될 수 있도록 보장하기 위한 것임.,"보건 분야 지원은 약 230만 명에게 혜택을 줄 것으로 예상됨. 이 자금은 여성과 5세 미만 아동을 위한 무료 의료 서비스를 유지하고, 의약품 및 백신 공급을 보장하며, 의료 시설의 운영 및 유지 관리 비용을 충당하는 데 사용될 예정임.","이 프로젝트는 특히 불안정한 상황에 처한 지역을 중심으로 학교 활동을 유지하기 위한 보조금을 통해 약 110만 명의 학생들에게 혜택을 줄 것임. 500만 명의 말리 국민이 인도적 지원이 필요한 상황에서, 이번 비준을 통해 공공 서비스에 자금이 효과적으로 투입될 수 있게 되었음.","Mali : 83,4 milliards FCFA pour la santé et l’éducation","Le gouvernement malien a ratifié un accord de financement de 83,4 milliards de FCFA (environ 150 millions de dollars) octroyé par l'Association internationale de développement (Groupe de la Banque mondiale). Ce soutien vise à garantir la continuité des services essentiels dans les secteurs de la santé et de l’éducation, malgré de fortes contraintes budgétaires nationales.","Le volet sanitaire bénéficiera à environ 2,3 millions de personnes. Les fonds permettront de maintenir la gratuité des soins pour les femmes et les enfants de moins de cinq ans, d'assurer l'approvisionnement en médicaments et vaccins, ainsi que de couvrir les frais de fonctionnement et de maintenance des structures de santé.","Le projet impactera environ 1,1 million d’élèves grâce à des subventions destinées à maintenir les activités scolaires, particulièrement dans les régions touchées par l’insécurité. Dans un contexte où 5 millions de Maliens ont besoin d'aide humanitaire, cette ratification permet le déploiement effectif des fonds vers les services publics.",Bamada,https://bamada.net/mali-834-milliards-fcfa-pour-la-sante-et-leducation,2026-04-08
말리,국제기구,농촌개발,식량 위기에 직면한 FAO(UN 식량 농업 기구)-BAD(아프리카 개발 은행)의 긴급 대응,"2026년 4월 20일 바마코(Bamako)에서 아프리카 개발 은행과 유엔 식량 농업 기구가 면담을 가짐. 2025-2026년 기간 중 112만 명 이상의 아동과 약 9만 1,000명의 임산부가 급성 영양실조에 노출될 우려가 있고, 메나카(Ménaka) 등 일부 지역이 비상 사태 수준으로 악화될 위험이 있는 심각한 식량 안보 위기 상황임. ","참여 기관은 특히 농자재 수급 문제에 주목함. 최근 국제 요소 가격이 46% 급등하면서 수입 의존도가 높은 말리 농가의 생산 비용 부담이 커지고 수확량 유지가 어려워졌기 때문임. 이에 따라 BAD와 FAO는 금융 지원과 기술 자문을 결합하여 농민들을 지원하고, 기후 및 안보 충격에 대한 회복력 강화를 위한 공동 대응 방안을 논의함. ","또한, 말리 농업의 구조적 전환을 위해 농업진흥지구(Agripoles) 개발과 현지 가공 능력 개선을 통한 부가 가치 창출에 협력하기로 함. 이는 시장 변동성과 기후 의존성이 높은 환경에서 장기적인 생산 역량을 강화하여 국가의 경제적, 사회적 안정을 도모하려는 전략적 선택임. ",Mali : FAO–BAD face à l’urgence alimentaire,"Une audience s’est tenue le 20 avril 2026 à Bamako entre la Banque africaine de développement (BAD) et la FAO. Elle intervient dans un contexte de crise de sécurité alimentaire où plus de 1,12 million d’enfants et près de 91 000 femmes enceintes pourraient être affectés par la malnutrition aiguë, avec un risque de dégradation vers des niveaux d’urgence alimentaire à Ménaka.","Les institutions ont mis l'accent sur les contraintes liées aux intrants agricoles, notamment l’urée dont le prix a progressé de 46 %. Cette hausse affecte directement les coûts de production et la capacité des exploitants maliens, dépendants des importations, à maintenir les rendements. La BAD et la FAO ont discuté d'une approche conjointe articulant financement et appuis techniques pour renforcer la résilience face aux chocs climatiques et sécuritaires.","Pour une transformation durable, les échanges ont porté sur le développement des agropoles afin d'améliorer la transformation locale et renforcer la valeur ajoutée. L’objectif est de répondre aux besoins immédiats tout en renforçant les capacités de production sur le long terme, faisant de l’agriculture un facteur déterminant de stabilité économique et sociale face à la volatilité des marchés.",APA NEWS,https://fr.apanews.net/security/mali-fao-bad-face-a-lurgence-alimentaire/,2026-04-21
말리,수원국,기타,"4월 25일 토요일, 말리 주요 도시 테러 발생","2026년 4월 25일 토요일, 말리 북부와 중부의 주요 도시들이 (최소 6개) 이슬람 무장단체 (JNIM)와 반군(FLA)의 합동 공격을 받아 심각한 피해를 입음. 특히, 군사 요충지 카티(Kati)에서 국방장관 관저가 폭파되어 사디오 카마라(Sadio Camara) 장군과 그의 가족들이 사망했으며, 국가 지도자인 아시미 고이타(Assimi Goïta)의 생사조차 불분명한 혼란스러운 상황이 이어지고 있음. ","이에 대해 말리 정부와 사헬국가연합(AES)은 적들의 음모를 군의 대응으로 저지했다고 주장하며 국가적 결속을 강조함. 반면, 일부 외신은 이번 사태가 군부의 치안 실패와 권력 유지에 기인한 것임을 강하게 비판하며, 정부가 현실을 직시하고 실패를 인정해야 한다고 지적함. ","전문가들은 이번 사건이 말리 내전으로 번지거나 인접국인 알제리, 모리타니 등으로 확산될 가능성을 우려하고 있음. 지하디스트 세력의 확장과 군사적 대응의 악순환은 공동체 간 분열을 심화시키고, 대규모 피란민 발생 및 국경 간 군사적 긴장 유발 등 지역 전체의 안보 위기를 초래할 것으로 보임.",À la Une: le samedi noir qui a fait basculer le Mali,"Samedi dernier, les principales villes du nord et du centre du Mali ont subi des attaques conjointes inédites de la part du JNIM et des rebelles du FLA, causant de lourds dégâts. En particulier à Kati, ville garnison et cœur du pouvoir, la résidence du ministre de la Défense a été plastiquée, entraînant la mort du général Sadio Camara et de sa famille, alors que l'incertitude plane sur le sort d'Assimi Goïta dans une situation qui reste confuse.","Face à cela, le gouvernement malien et l'Alliance des États du Sahel (AES) ont dénoncé un complot monstrueux, affirmant que ce dessein macabre a été mis en échec par la riposte des forces armées tout en appelant à la cohésion nationale. En revanche, certains médias étrangers fustigent une affligeante faillite de la junte en matière de sécurité, estimant qu'elle travaille davantage à la confiscation du pouvoir et qu'elle doit admettre son échec face à la réalité.","Les experts redoutent que cet événement ne conduise à une véritable guerre civile ou ne se propage aux pays voisins comme l'Algérie et la Mauritanie. L'expansion des groupes djihadistes et l'accent mis sur les réponses militaires pourraient aggraver les fractures communautaires, provoquer des déplacements de populations et engendrer des tensions transfrontalières, menaçant ainsi la stabilité de toute la région.",RFI Afrique,https://www.rfi.fr/fr/podcasts/revue-de-presse-afrique/20260428-%C3%A0-la-une-le-samedi-noir-qui-a-fait-basculer-le-mali,2026-04-28
말리,수원국,기타,"지하디스트와 반군, 말리 바마코에 대한 압박 유지 의도","2026년 4월 25일 토요일의 합동 공격 이후, 지하디스트 세력은 수도 바마코를 봉쇄하고 외부 출입을 차단하겠다고 선포함. 말리 군부는 바마코 내 상황을 안정시키며 반격에 나서고 있다고 주장하지만, 북부 지역은 점차 정부의 통제에서 벗어나고 있으며 프랑스 등 외부 국가들은 자국민에게 철수를 권고하는 등 긴장이 고조되고 있음.","정부 측과 러시아 매체는 말리군과 아프리카 군단이 상황을 신속히 통제하며 승리했다고 주장하나, 한편으로는 군사적 대응만으로는 한계가 있음을 인정하고 있음. 특히, 정치적 타협이나 경제적 재건이 필수적이라는 의견이 나오고 있으며, 이는 현재 말리 정부의 자원만으로는 해결이 어려울 것으로 보임. ","외신들은 말리 군부가 러시아의 군사력에 전적으로 의존하고, 알제리와의 외교 관계를 소홀히 한 채 모로코와 밀착한 점을 주요한 전략적 패착으로 분석하고 있음. 이러한 실책은 반군 저지에 실패하는 결과로 이어졌으며, 이전에 국제 사회의 개입을 불러온 2012년의 분쟁 초기와 비슷한 양상을 보이고 있음. ",À la Une: djihadistes et indépendantistes entendent maintenir la pression sur Bamako au Mali,"Après les attaques coordonnées de samedi dernier, les forces djihadistes ont déclaré le blocus de Bamako, annonçant que personne n’y entrerait plus. Bien que la junte malienne affirme que la situation s’est stabilisée et qu'elle poursuit ses missions de neutralisation, de plus en plus de localités du Nord échappent au contrôle du régime, tandis que des pays comme la France recommandent à leurs ressortissants de quitter le pays face à la montée des tensions.","Le camp gouvernemental et les médias russes soutiennent que l’armée malienne et l’Africa Corps ont rapidement maîtrisé la situation, mais ils reconnaissent par ailleurs les limites du tout militaire. Des voix s'élèvent pour souligner qu'une autonomie politique ou une réintégration globale des régions séparatistes est indispensable, des défis de reconstruction pour lesquels Bamako ne dispose pas encore des ressources nécessaires.","Les observateurs étrangers analysent la situation comme un échec stratégique de la junte, qui a tout misé sur la solution militaire russe et sur un rapprochement avec le Maroc au détriment d’Alger. Ces erreurs ont empêché d'enrayer l'insurrection, et la crise actuelle présente désormais un scénario similaire à celui de 2012, qui avait conduit à l'époque à une intervention militaire internationale.",RFI Afrique,https://www.rfi.fr/fr/podcasts/revue-de-presse-afrique/20260430-%C3%A0-la-une-djihadistes-et-ind%C3%A9pendantistes-entendent-maintenir-la-pression-sur-bamako-au-mali,2026-04-30
